scenario_id,date,chosen_action,engine_value_inr,baseline_value_inr,uplift_inr,margin_status,thermal_exposure_hours,quality_score,batch_condition,planned_price_date_used,planned_price_staleness_days,alternate_available,tariff_per_kg_per_day,facility_name
store-illustrative-0.1,2024-07-16,SELL,54273,54273,0,NARROW,3.95,98.02,HEALTHY,2024-07-16,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-16,SELL,54273,54273,0,NARROW,3.95,98.02,HEALTHY,2024-07-16,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-16,SELL,54273,54273,0,NARROW,3.95,98.02,HEALTHY,2024-07-16,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-17,SELL,57449.92,57449.92,0,CLEAR,3.95,98.02,HEALTHY,2024-07-17,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-17,SELL,57449.92,57449.92,0,CLEAR,3.95,98.02,HEALTHY,2024-07-17,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-17,SELL,57449.92,57449.92,0,CLEAR,3.95,98.02,HEALTHY,2024-07-17,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-18,SELL,51096.09,51096.09,0,CLEAR,3.95,98.02,HEALTHY,2024-07-18,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-18,SELL,51096.09,51096.09,0,CLEAR,3.95,98.02,HEALTHY,2024-07-18,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-18,SELL,51096.09,51096.09,0,CLEAR,3.95,98.02,HEALTHY,2024-07-18,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-19,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-19,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-19,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-19,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-19,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-19,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-20,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-20,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-20,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-20,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-20,SELL,49507.63,49507.63,0,CLEAR,3.95,98.02,HEALTHY,2024-07-20,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-21,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-21,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-21,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-21,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-21,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-21,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-22,SELL,46330.72,46330.72,0,NARROW,3.95,98.02,HEALTHY,2024-07-22,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-22,SELL,46330.72,46330.72,0,NARROW,3.95,98.02,HEALTHY,2024-07-22,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-22,SELL,46330.72,46330.72,0,NARROW,3.95,98.02,HEALTHY,2024-07-22,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.1,2024-07-23,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-23,0,true,0.1,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.25,2024-07-23,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-23,0,true,0.25,"Cold Storage, Valappakudi (Thanjavur market committee)"
store-illustrative-0.5,2024-07-23,SELL,46330.72,46330.72,0,CLEAR,3.95,98.02,HEALTHY,2024-07-23,0,true,0.5,"Cold Storage, Valappakudi (Thanjavur market committee)"
